EURUSD;15;Setup;Trend_Cont;s3;s3;s3;s3;s3;s3;s3;s3;s3;s3;s3;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;30;Setup;CycleAfter_X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;CycleAfter_DAD;;;;;;;;;;;;;;;;;;;s;s;s;s;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;MT_MOM_Wave3;;;;;;b;b;b;b;b;b;b;b;b;b;b;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;MT_MOM_Wave2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;X_Marks_the_spot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;ImpulseWithoutRetrace;;;;;;;;;;;;;;;;;;;;;;;;s;s;s;s;s;s;s;2026.01.09;07:00
EURUSD;30;Setup;MT_Rubberband;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;ST_Rubberband;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;LT_Conv.;;;;;;b;b;;;;;;;b;;b;;;s;s;s;s;;;;;;;;;2026.01.09;07:00
EURUSD;30;K_D_MOM;MT_K_Angle;;;;;;;;;;b;b;b;b;b;b;b;;;;;;s;;s;s;;;;;s;2026.01.09;07:00
EURUSD;30;K_D_MOM;MT_D_Angle;;;;;;;;;;;;;;b;b;b;;;;;;;;;;;s;s;s;s;2026.01.09;07:00
EURUSD;30;K_D_MOM;MT_MOM_Angle;;;;;;;;;;;b;b;b;b;b;b;;;;;s;s;;;;;;;;;2026.01.09;07:00
EURUSD;30;K_D_MOM;ST_D_Angle;;;;;;;;;;b;b;b;b;b;;;;;;;s;s;;;;;;;;s;2026.01.09;07:00
EURUSD;30;K_D_MOM;ST_MOM_Angle;;;;;;;;;;b;b;b;b;b;b;b;;;;;s;s;;;;;;;;s;2026.01.09;07:00
EURUSD;30;K_D_MOM;ST_K_Angle;;;;;;;;;;b;b;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;TRIGGER;P.ActionBar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;TRIGGER;Stoc_Div.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;TRIGGER;TD_Alignm.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;TRIGGER;MA_S&R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;TopDOG_Setup;;;;;;b;b;b;b;b;b;b;b;b;b;b;;;b;s;s;s;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;TD_Alignment;b;;;;;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;2026.01.09;07:00
EURUSD;30;BellCurve;TD_Countdown;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;SMIclimax;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;SMI-div.;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;RSI_BB_Stoc;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;ADX_EXIT;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;MFI_EXIT;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;MT_LT_Stoc_Extreme;;;;;;;b;b;b;b;b;b;b;b;b;b;b;b;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;8EMA;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;21EMA;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;CCI;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;TD_Nine;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;BB_RSI;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;ST_Reload;;;;;;b;b;b;b;b;b;b;b;b;b;b;b;b;b;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;BellCurve;ST_Mom_Div;;;;b;b;;;;;;;;;;;;;;b;;;;b;;;;;;;b;2026.01.09;07:00
EURUSD;60;Setup;Trend_Cont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;Setup;Trend_Reversal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;Setup;MACD_Div_Partial;;;b;b;b;b;b;;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;;;;;;2026.01.09;07:00
EURUSD;60;Setup;MACD_Div_Full;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;Setup;REload_ST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;Setup;REload_MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;Setup;CycleAfter_X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;Setup;CycleAfter_DAD;;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;;;;;;;;;;2026.01.09;07:00
EURUSD;60;Setup;MT_MOM_Wave3;b;b;;;;;;;;;;;;;;;b;b;b;b;b;b;b;b;b;;;;;;2026.01.09;07:00
EURUSD;60;Setup;MT_MOM_Wave2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;Setup;X_Marks_the_spot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;Setup;ImpulseWithoutRetrace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;Setup;MT_Rubberband;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;Setup;ST_Rubberband;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;Setup;LT_Conv.;;;;;;b;b;;;;b;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;K_D_MOM;MT_K_Angle;;;b;b;b;b;b;b;;b;b;b;;;b;;;;;;;b;b;b;b;;;;;;2026.01.09;07:00
EURUSD;60;K_D_MOM;MT_D_Angle;;;;;;;;b;b;b;b;b;b;b;b;b;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;60;K_D_MOM;MT_MOM_Angle;;;b;b;b;b;b;b;;b;b;b;;;;;;;;;;b;b;b;;;;;;;2026.01.09;07:00
