Symbol,Priority
10YR,1
DXY,2
USDT.D,3
SOLUSDT,7
TONUSDT,8
BTCUSDT,10
ETHUSDT,11
BNBUSDT,20
TRXUSDT,21
PEPEUSDT,25
BRETTUSDT,26
